agency_cd	site_no	datetime	tz_cd	151730_00060	151730_00060_cd	151733_00010	151733_00010_cd
USGS	12447200	2020-03-02 17:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 17:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 18:00	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 18:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 18:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 18:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 19:00	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 19:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-02 19:30	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 19:45	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 20:00	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 20:15	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 20:30	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 20:45	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 21:00	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 21:15	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 21:30	PST	2050	A	5.1	A
USGS	12447200	2020-03-02 21:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-02 22:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-02 22:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-02 22:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-02 22:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-02 23:00	PST	2040	A	5.2	A
USGS	12447200	2020-03-02 23:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-02 23:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-02 23:45	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 00:00	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 00:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 00:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 00:45	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 01:00	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 01:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 01:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 01:45	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 02:00	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 02:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 02:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 02:45	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 03:00	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 03:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 03:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 03:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 04:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 04:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 04:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 04:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 05:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 05:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 05:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 05:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 06:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 06:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 06:30	PST	2040	A	5.1	A
